pkid_storychords,pk_tablature_cues,storychords_timbre,storychords_articulation,storychords_tempo,storychords_definition,storychords_illustration,storychords_explanation
SP0011,2,Overall Story Throughline,Concern,Understanding,the area of shared concern in the Overall Story as it concerns appreciating the meaning of something,,"Understanding is different from knowledge. From knowledge one gets awareness, from Understanding, one gets meaning. To obtain meaning requires not only knowing the substance of its nature, but the context of its essence. In other words, one must not only define what something is, but how it fits into the larger picture as well. To this end, Reason describes the function and Emotion defines the purpose. So Understanding is not just an intellectual pursuit, but requires an empathy with the meaning as well. It is useful to note that many Eastern and ancient philosophies define Understanding as ""becoming one with"" that which is being considered. Until one joins a subject in unity, one cannot understand it."
SP0012,5,Overall Story Throughline,Issue,Conditioning,the Overall Story's thematic focus as it concerns responses based on experience or training,,"Conditioning describes the learned responses to various stimuli. Similar to Instinct in that the Consciousness in not involved until after the fact, Conditioning differs insofar as it was not inherent in the basic nature of a character, but acquired though training or familiarity to impose its triggers on the mind. Since Instincts are intrinsic, and Conditioning is learned, they frequently come in conflict over how to respond. This concept alone has provided the theme for many intriguing stories."
SP0013,,Overall Story Throughline,Couterpoint,Instinct,the Overall Story's thematic rebuttal as it concerns intrinsic unconditioned responses,,"Instinct describes those built- in responses to situations and circumstances that are not learned, yet drive one to comply with one's urges. How much sway they have over an individual depends both upon the nature of the instinct and the intensity of conditioning against the instinct that he has experienced by accident, design, or choice. When one acts or responds according to instinct, there is no conscious consideration beforehand. Only after the fact does the consciousness become aware that an instinct has been triggered. Nonetheless, one can learn to inhibit instinctual commands until the consciousness has the opportunity to consider the propriety of conforming to it."
SP0014,,Overall Story Throughline,Thematic Conflict,Conditioning,the Overall Story's thematic comparison as it balances Conditioning against Instinct,,
SP0015,"6, 9",Overall Story Throughline,Problem,Inertia,the source of the Overall Story's difficulties as it concerns continuation of a state or process,,Inertia is a tendency to maintain the status quo. That which is moving wants to keep moving. That which is at rest wants to stay at rest. An Inertia-oriented character concerns himself with keeping things on an even keel. He tries to avoid or prevent anything that rocks the boat. He also does not adapt well to change.
SP0016,67,Overall Story Throughline,Solution,Change,the actual remedy for the Overall Story's problem(s) as it concerns an alteration of a state or process,,"Change is the force that alters. A characteristic representing change is quick to adapt but also cannot leave well enough alone. It feels that if things have been one way long enough to establish a pattern, its time to change it."
SP0017,"19, 21",Overall Story Throughline,Symptom,Projection,the principal symptom of the Overall Story's problem(s) as it concerns an extension of probability into the future,,"Projection is a means of anticipating events and situations by extending the line of how things have been happening into the future. A character that represents Projection has a good grasp of what he might look for in things to come. However, this character will give great weight to past experience, so abrupt changes in direction might be ignored until it is too late."
SP0018,45,Overall Story Throughline,Response,Speculation,the apparent remedy for the principal symptom of the Overall Story's problem(s) as it concerns an extension of possibilities into the future,,"Speculation is the effort to determine what could conceivably happen in the future, even though it is not the most likely scenario. Speculation leads a character to expect the unlikely in the event that it actually occurs. Difficulties arise when Speculation runs rampant and a character puts effort into preparing for things that are so unlikely as to be unreasonable or improbable."
SP0019,"7, 20, 47",Overall Story Throughline,Benchmark,Doing,the standard by which progress is measured in the overall Story as it concerns engaging in a physical activity,,"Doing is the process of being physically active. In and of itself, Doing does not require any purpose, but simply describes engaging in a process, task, or endeavor, whether for pleasure or by necessity or compulsion."
SP0020,"13, 23",Overall Story Throughline,Catalyst,Senses,the kind of intem which serves to push the Overall Story forward as it concerns sensory observations,,"Senses refers to the raw data supplied to the mind to interpret. Sometimes the data is accurate, other times it is faulty even before the mind gets hold of it. Senses then, describes the overall accuracy of an observation (such as seeing a crime or checking the results of a test). When taken in conjunction with its Dynamic Pair of Interpretation, all manner of error or accuracy can be created. This provides the author with a powerful storytelling tool to create comedies and tragedies based in error and misunderstanding."
SP0021,"19, 33, 53, 63",Overall Story Throughline,Inhibitor,Fate,the kind of item which serves sto impede the Overall Story's progress as it concerns a future situation that will befall an individual,,"The distinction between Fate and destiny is an important one. Destiny is the direction one's life must take, Fate is any given moment along that direction. So whereas one can have many Fates, one can only have one destiny. Fate describes a state of situation and circumstance that exists at a particular point in time. In other words, Fate is something of an outcome, or perhaps a step - just one of a number of Fates along the path of one's destiny. Characters often either make the mistake of assuming that they have only one Fate and are therefore stuck with it, or they mistakenly believe they can achieve their destiny without ""passing through"" unattractive fates that lie along the path. The nature of a Fate is that no matter how you try to avoid it, it tracks you. All options that you might exercise still lead to that Fate. That is what also defines Destiny as the limitations on free will that force you to arrive at your Fate no matter how you alter what you do or what kind of person you are. If we all knew the future, there would be no freewill."
SP0022,9,Synopsis,Main Character Backstory,"Vivian's backstory is an intricate spectral lattice, woven from violence, stolen futures, and betrayals too intimate to escape. Rather than a linear history, it manifests as a living shadow accompanying every decision she makes. It traps her within the Inertia she despises in the MODS while ironically pushing her closest to the Change she cannot accept. In ASTRO7EX, her backstory is not simply her ""why,"" but the phantom co-pilot she cannot eject — making her both architect and prisoner of her story.",the occurances from Vivian's past which account for the personal problems with which she begins the story,,
SP0023,3,Main Character Throughline,Throughline,Situation,the realm of Vivian's personal journey and growth as it concerns a situation or envirionment,,"The Situation Class is where any fixed state of affairs is explored, such as an institution, system, or situation that remains stable and unchanging. The point may be to show that the system is good, bad, or neutral, but the focus must be on the system, not on how the system is changing."
SP0024,3,Main Character Throughline,Concern,The Past,the issue or issues held in greatest importance by Vivian as it concerns what has already happened,,"The Past is not unchanging. Often we learn new things that change our understanding of what past events truly meant and create new appreciations of how things really fit together. A Story that focuses on The Past, may be much more than a documentation of what happened. Frequently, it is a reevaluation of the meaning of what has occurred that can lead to changing one's understanding of what is happening in the present or will eventually happen in the future."
SP0025,66,Main Character Throughline,Issue,Destiny,"Vivian's personal thematic focus, topic, or value standard as it concerns the future path an individual must take",,"Destiny is the path to a particular fate, or through a series of fates. Fates are experiences or conditions one must encounter along the way as one's Destiny directs one's course. The nature of Destiny is such that no matter how much a character is aware of the nature and location of an undesirable fate, nothing he can do is enough to pull him off the path. Characters often try to deny Destiny by jumping to an entirely different path, only to discover that all roads lead to Rome."
SP0026,,Main Character Throughline,Thematic Counterpoint,Fate,the thematic opposite ot the area of Vivian's greatest sensitivity as it concerns a future situation that will befall an individual,,"The distinction between Fate and destiny is an important one. Destiny is the direction one's life must take, Fate is any given moment along that direction. So whereas one can have many Fates, one can only have one destiny. Fate describes a state of situation and circumstance that exists at a particular point in time. In other words, Fate is something of an outcome, or perhaps a step - just one of a number of Fates along the path of one's destiny. Characters often either make the mistake of assuming that they have only one Fate and are therefore stuck with it, or they mistakenly believe they can achieve their destiny without ""passing through"" unattractive fates that lie along the path. The nature of a Fate is that no matter how you try to avoid it, it tracks you. All options that you might exercise still lead to that Fate. That is what also defines Destiny as the limitations on free will that force you to arrive at your Fate no matter how you alter what you do or what kind of person you are. If we all knew the future, there would be no freewill."
SP0027,,Main Character Throughline,Thematic Conflict,Destiny,the thematic comparison within Vivian as it balances Destiny agaainst Fate,,
SP0028,3,Main Character Throughline,Problem,Aware,the source of Vivian's drive,,"In ASTRO7EX, Vivian’s Problem of Aware transforms from an edge in combat to a core vulnerability. Her hyper-awareness is both a narrative weapon and a spiritual curse—she sees too much to function in any traditional sense. Rather than becoming enlightened, she becomes alienated, unmoored from consensus reality. Her journey is not about closing her eyes but about finding the courage to act regardless of infinite contradictory inputs. Her final resistance is not in “understanding more,” but in choosing to move forward without further proof."
SP0029,68,Main Character Throughline,Solution,Self Aware,what is needed to truly satisfy Vivian's drive,,"Vivian’s Solution of Self Aware transforms her narrative from a surveillance operator to an existential warrior. By integrating her perceptions and failures into her sense of self, she transcends the need for external verification or systemic coherence. Her final acts are no longer aimed at exposing or fixing the world but at asserting the sovereignty of her identity in defiance of a universe that refuses to validate her. In the end, she becomes her own proof."
SP0030,,Main Character Throughline,Symptom,Projection,the area or item Vivian believes the problem to be as it concerns an extension of probability into th efuture,,"Projection is a means of anticipating events and situations by extending the line of how things have been happening into the future. A character that represents Projection has a good grasp of what he might look for in things to come. However, this character will give great weight to past experience, so abrupt changes in direction might be ignored until it is too late."
SP0031,,Main Character Throughline,Response,Speculation,the response of Vivian to her apparent problems as it concerns an extension of possibilities into the future,,"Speculation is the effort to determine what could conceivably happen in the future, even though it is not the most likely scenario. Speculation leads a character to expect the unlikely in the event that it actually occurs. Difficulties arise when Speculation runs rampant and a character puts effort into preparing for things that are so unlikely as to be unreasonable or improbable."
SP0032,21,Main Character Throughline,Benchmark,How Things are Changing,the standard by which Vivian's degree of growth is indicated as it concerns the way things are going,,"How Things are Changing concerns itself with change: what direction and how fast? It is not so important where things were, are, or will be, but rather how the struggle between inertia and change seesaws over the course of the story."
SP0033,71,Main Character Throughline,Unique Ability,Prediction,the quality that makes Vivian uniquely qualified to resolve the story's problem as it concerns predetermination of a future state of affairs,,"Prediction explores the effort to learn the course of one's destiny. Destiny is the path to a particular fate, or through a series of fates. Fates are experiences or conditions one must encounter along the way as one's destiny directs one's course. The nature of destiny is such that no matter how much a character is aware of the nature and location of an undesirable fate, nothing he can do is enough to pull him off the path. However, if one could know the future course, one could prepare for each eventuality in order to minimize or maximize its effect."
SP0034,"3, 41",Main Character Throughline,Critical Flaw,Instinct,"the quality that inhibits or undermines Vivian's effectiveness, specifically her Unique Ability as it concerns intrinsic unconditioned responses",,"Instinct describes those built- in responses to situations and circumstances that are not learned, yet drive one to comply with one's urges. How much sway they have over an individual depends both upon the nature of the instinct and the intensity of conditioning against the instinct that he has experienced by accident, design, or choice. When one acts or responds according to instinct, there is no conscious consideration beforehand. Only after the fact does the consciousness become aware that an instinct has been triggered. Nonetheless, one can learn to inhibit instinctual commands until the consciousness has the opportunity to consider the propriety of conforming to it."
SP0035,,Synopsis,,,,,
SP0036,,Impact Character Throughline,Throughline,Fixed Attitude,the general area in which MODS operates as it concerns a fixed attitude or outlook,,"The Fixed Attitude Class describes a fixed attitude. This can be a bias, prejudice or even a ""positive"" opinion about anything at all. The key is that the attitude is fixed, meaning it is accepted as a given and not reevaluated. Often the Fixed Attitude Class is represented by a group of people who share a common bias for or against something."
SP0037,18,Impact Character Throughline,Concern,Memories,MOD's primary objective or purpose as it concerns recollections,,"The Past is an objective look at what has happened. In contrast, Memories is a subjective look at what has happened. Therefore, Memories of the same events varies among individuals creating many different and possibly conflicting recollections. Often one's current feelings come from memories, both pleasant and unpleasant. Many a taut story revolves around a character's effort to resolve open issues from his memories by recalling or forgetting them."
SP0038,,Impact Character Throughline,Issue,Falsehood,the area of MODS's greatest impact as it concerns that whihc has been shown to be erroneus,,"Falsehood does not mean incorrect, but in error. In other words, what is presented may be absolutely accurate and yet not reflect what is really going on. Perhaps only a portion of the truth is expressed, or more information than is pertinent causes one to misconstrue. A danger is that Falsehood can get away from the control of its creator. Once an error has been passed off as truth, some will continue to accept it as truth, even if it is recanted by the person that gave the False account."
SP0039,,Impact Character Throughline,Thematic Counterpoint,Truth,the thematic comparison of MODS's impact as it concerns that which is actually correct,,"Truth is more than facts and accuracy. Truth is meaning. Whenever someone is quoted out of context, what is reported may be factual and may be accurate, but it is not Truthful. Meaning depends upon intent and purpose. That is the beauty of the legal system: that even if someone is caught red-handed, the jury can acquit him because it feels there were mitigating circumstances. The problem with Truth is that it is an interpretation, and therefore open to debate. One person's Truth is another's Falsehood."
SP0040,,Impact Character Throughline,Thematic Conflict,Falsehood,the thematic comparison of MODS's impact as it balanses *Falsehood* against *Truth*,,
SP0041,,Impact Character Throughline,Problem,Inertia,the nature of MODS's drive as it concerns a continuation of a state or process,,Inertia is a tendency to maintain the status quo. That which is moving wants to keep moving. That which is at rest wants to stay at rest. An Inertia-oriented character concerns himself with keeping things on an even keel. He tries to avoid or prevent anything that rocks the boat. He also does not adapt well to change.
SP0042,,Impact Character Throughline,Solution,Change,"the item, event, or process needed to truly satisfy MODS's drive as it concerns an alteraton of a state or process",,"Change is the force that alters. A characteristic representing change is quick to adapt but also cannot leave well enough alone. It feels that if things have been one way long enough to establish a pattern, its time to change it."
SP0043,,Impact Character Throughline,Symptom,Order,the area in which MODS believes the problem can be resolved as it concerns a patterned arragement,,"The character containing the Order characteristic is concerned with keeping things organized. Change is not a problem as long as it is orderly. However, sometimes you can't get there from here and the whole system has to be blown apart to rebuild from the ground up. Sometimes a little chaos needs to reign so that a logjam can be broken or a process speeded up. The character representing Order is an organization fiend."
SP0044,,Impact Character Throughline,Response,Chaos,MODS's point of attack as it concerns random change or lack of order,,"Chaos is disorder, randomness, anarchy. The Chaos characteristic is brilliant at cutting through a Gordian knot. But then it just keeps cutting every rope it sees until the chandelier falls on its head. It ""stirs the pot"" just to see what will bubble up to the top."
SP0045,17,Impact Character Throughline,Benchmark,Impulsive Responses,the standard by which MODS's impact is measured as it concerns innate responses,,"Built into the mind is an instinctual base of reactions and attitudes that cannot be altered but merely compensated for. When a story's problem revolves around the unsuitability of someone's essential nature to a given situation or environment, the central issue is Impulsive Responses. The solution lies in the character conditioning himself to either hold his tendencies in check or develop methods of enhancing areas in which he is naturally weak in reason, ability, emotion, or intellect."
SP0046,57,Impact Character Throughline,Unique Ability,Evidence,the quality that makes MODS uniquely qualified to pressure Vivian to change her nature as it concerns imformation supporting a belief,,"Evidence is information one gathers to develop an understanding about something. When looking at Evidence, a character does not necessarily have to know exactly what he is looking for, just that the information pertains to the nature of what he is trying to learn about. As a result, he tends to examine the Evidence only in terms of whether or not it is something that falls into a predetermined category. Therefore, errors can occur when the Evidence (although it pertains to the subject of interest) actually holds much more information in another area. This can lead a character to ""not see the forest for the trees"" because he is looking at the small picture and ignoring the big one. For example, in a mystery, a detective may be looking for Evidence of who committed a murder, when in truth the victim died of natural causes, which is clearly indicated if the detective had only thought to look for that."
SP0047,50,Impact Character Throughline,Critical Flaw,State of Being,the quality that inhibits or undermines MODS's impact as it concerns one's true nature,,"State of Being describes the actual nature of a character. The character himself is often not aware of the true nature of his being. In fact, there may be no one at all who fully understands all that he is. However, in the communication between Author and Audience, the essence of a character must be fully explained or the story's message will be obscured."
SP0048,,Synopsis,,,,,
SP0049,12,Main vs Impact Story Throughline,Throughline,Manipulation,the geenral area of difficulty between Vivian and MODS as it concerns a manner of thinking or demeanor,,"The Manipulation Class is where the evolution or change in an attitude is explored, unlike the Fixed Attitude Class which describes the nature of a fixed state of mind. This is a more deliberation-oriented Class where the focus is not on the attitude itself, but whether it is changing for better or for worse."
SP0050,12,Main vs Impact Story Throughline,Concern,Develolping a Plan,the topic of contention between Vivian and MODS as it concerns visualizing how an existing idea might be implemented,,"Developing a Plan means coming up with a practical implementation of an idea. It is not enough to simply have the idea. To conceptualize, one must develop an actual mental model of how such an idea might be made manifest. In other words, one might have an idea to build a spacious house. But to conceptualize the house, one must imagine everything that makes up the house -- the design, the layout, the colors & textures, everything that is essential to understanding what that specific house is. Developing a Plan requires being able to visualize something as a whole."
SP0051,18,Main vs Impact Story Throughline,Issue,Sense of Self,the Main vs. Impact Story's thematic focus as it concerns one's percption of oneself,,"Simply put, Sense of Self is our own Self Image. A character may not truly know who he is, but he always knows who he thinks he is. This inward-looking view may be right on the mark or not even close. The difficulty a character has is that from inside himself it is impossible to be sure who he is. All he can do is take clues from the reaction of those around him. Interesting storytelling sometimes places a character among those who provide a warped feedback that creates a false Sense of Self in the character. This erroneous image may be far better, far worse, or simply different than his actual state of being. Other stories force a character to come to grips with the fact that he is wrong about himself, and the opinions of others are accurate. In a Main Character, the differential between Sense of Self and State of Being is part of what separates the Main vs. Impact from the Overall story lines."
SP0052,,Main vs Impact Story Throughline,Thematic Conterpont,State of Being,the Main vs Impact Story's thematic comparison as it concerns one's true nature,,"State of Being describes the actual nature of a character. The character himself is often not aware of the true nature of his being. In fact, there may be no one at all who fully understands all that he is. However, in the communication between Author and Audience, the essence of a character must be fully explained or the story's message will be obscured."
SP0053,,Main vs Impact Story Throughline,Thematic Conflict,Sense of Self,the Main vs. Impact Story's thematic comparison as it balances Sense of Self against State of Being,,
SP0054,12,Main vs Impact Story Throughline,Problem,Inertia,the underlying cause of teh difficulties between Vivian and MODS as it concerns a continuation of a state or process,,Inertia is a tendency to maintain the status quo. That which is moving wants to keep moving. That which is at rest wants to stay at rest. An Inertia-oriented character concerns himself with keeping things on an even keel. He tries to avoid or prevent anything that rocks the boat. He also does not adapt well to change.
SP0055,72,Main vs Impact Story Throughline,Solution,Change,the specific element that can resolve the difficulties between Vivian and ODS as it concerns an alteration of a state or process,,"Change is the force that alters. A characteristic representing change is quick to adapt but also cannot leave well enough alone. It feels that if things have been one way long enough to establish a pattern, its time to change it."
SP0056,,Main vs Impact Story Throughline,Symptom,Knowledge,the area in which Vivian and MODS's attention is concentrated as it concerns that which one holds to be true,,"The Knowledge characteristic urges a character to rely on what is held to be true. The Character representing Knowledge will tap the resources of its information to find parallels and understanding that he can apply to the issue at hand. The advantage of Knowledge is that one need not learn what is already known, thereby skipping nonessential reevaluations and getting a head start with solving a problem. The difficulty is that Knowledge can be wrong. Without reevaluation dogma sets in - rigor mortis of thought, leading to inflexibility and closed mindedness because the Character believes no reconsideration is needed since the subject is already ""known."""
SP0057,,Main vs Impact Story Throughline,Response,Thought,the nature of growht in the relationship betrwen Vivian and MODS as it concerns the process of consideration,,"When a character represents Thought, he illustrates the process of consideration. Unlike the logic element that is only concerned with arriving at a conclusion via reason, Thought deliberates both logical and emotional aspects of a problem, not particularly to decide an issue so much as to examine it from all perspectives. This has the advantage of illuminating every side of an issue, but has the potential disadvantage of Thought becoming an endless loop where consideration runs round in circles, chasing its mental tail and never coming to rest in a decision."
SP0058,,Main vs Impact Story Throughline,Benchmark,Playing a Role,the standard by which growht between Vivian and MODS is measured as it concerns temporarily adopting a lifestyle,,"""Playing a Role"" is an elusive concept, subject to inconsistent common usage. For purposes of story, Playing a Role is meant to describe the condition of existing in a certain manner. Whomever or whatever is ""Playing a Role"" a particular way is not truly of that nature; to do so would require Changing One's Nature. In fact, playing a role may be put on as a deception or because it is necessary to adopt a role in order to achieve one's purpose. However, as long as there is nothing more or less to the functioning of a person or thing, it can be said to ""be"" what it appears to be. Stories often focus on someone who wants to ""be"" something, without actually ""Changing One's Nature"". The important difference is that ""Playing a Role"" requires that all the elements of what one wants to be are present in oneself. ""Changing One's Nature"" requires that there are no elements in oneself that are not in what one wants to become."
SP0059,27,Main vs Impact Story Throughline,Catalyst,Situation,the tyep of interaction that oncreases conflict between Vivian and MODS as it concerns a logistic assesment of one's environment,,"Situation describes the ins, outs and practical considerations of the environment in which a character finds himself. Throughout a story, the situation may evolve or may remain constant, depending upon the essence of the message and the nature of the plot. Since it is limited to the practical, Situation can only be measured and/or interpreted though Reason."
SP0060,"47, 58",Main vs Impact Story Throughline,Inhibitor,Truth,the type of interaction that decreases conflict between Vivian and MODS as it concerns that which is actually correct,,"Truth is more than facts and accuracy. Truth is meaning. Whenever someone is quoted out of context, what is reported may be factual and may be accurate, but it is not Truthful. Meaning depends upon intent and purpose. That is the beauty of the legal system: that even if someone is caught red-handed, the jury can acquit him because it feels there were mitigating circumstances. The problem with Truth is that it is an interpretation, and therefore open to debate. One person's Truth is another's Falsehood."
SP0061,"9, 14, 34",Central Plot Points,Goal,Understanding,"the central ""objective"" of the Overall Story as it concerns appreciating the meaning of something",,"Understanding is different from knowledge. From knowledge one gets awareness, from Understanding, one gets meaning. To obtain meaning requires not only knowing the substance of its nature, but the context of its essence. In other words, one must not only define what something is, but how it fits into the larger picture as well. To this end, Reason describes the function and Emotion defines the purpose. So Understanding is not just an intellectual pursuit, but requires an empathy with the meaning as well. It is useful to note that many Eastern and ancient philosophies define Understanding as ""becoming one with"" that which is being considered. Until one joins a subject in unity, one cannot understand it."
SP0062,65,Central Plot Points,Consequence,Developing a Plan,the result of failing to achieve the goal as it concerns visualizing how an existing idea might be implmenented,,"Developing a Plan means coming up with a practical implementation of an idea. It is not enough to simply have the idea. To conceptualize, one must develop an actual mental model of how such an idea might be made manifest. In other words, one might have an idea to build a spacious house. But to conceptualize the house, one must imagine everything that makes up the house -- the design, the layout, the colors & textures, everything that is essential to understanding what that specific house is. Developing a Plan requires being able to visualize something as a whole."
SP0063,"29, 57",Central Plot Points,Cost,Memories,the prices that must be paid on the way to the goal as it conerns recollections,,"The Past is an objective look at what has happened. In contrast, Memories is a subjective look at what has happened. Therefore, Memories of the same events varies among individuals creating many different and possibly conflicting recollections. Often one's current feelings come from memories, both pleasant and unpleasant. Many a taut story revolves around a character's effort to resolve open issues from his memories by recalling or forgetting them."
SP0064,"22, 44, 46",Central Plot Points,Dividend,The Past,the benefits enjoyed on the way to the goal as it concerns what has already happened,,"The Past is not unchanging. Often we learn new things that change our understanding of what past events truly meant and create new appreciations of how things really fit together. A Story that focuses on The Past, may be much more than a documentation of what happened. Frequently, it is a reevaluation of the meaning of what has occurred that can lead to changing one's understanding of what is happening in the present or will eventually happen in the future."
SP0065,21,Central Plot Points,Requirements,Doing,the necessary precursors to achieving the goal as it concerns engaging in a physical activity,,"Doing is the process of being physically active. In and of itself, Doing does not require any purpose, but simply describes engaging in a process, task, or endeavor, whether for pleasure or by necessity or compulsion."
SP0066,15,Central Plot Points,Prerequisites,Playing a Role,the steps or items needed to meet the requirements as it concerns temporarily adopting a lifestyle,,"""Playing a Role"" is an elusive concept, subject to inconsistent common usage. For purposes of story, Playing a Role is meant to describe the condition of existing in a certain manner. Whomever or whatever is ""Playing a Role"" a particular way is not truly of that nature; to do so would require Changing One's Nature. In fact, playing a role may be put on as a deception or because it is necessary to adopt a role in order to achieve one's purpose. However, as long as there is nothing more or less to the functioning of a person or thing, it can be said to ""be"" what it appears to be. Stories often focus on someone who wants to ""be"" something, without actually ""Changing One's Nature"". The important difference is that ""Playing a Role"" requires that all the elements of what one wants to be are present in oneself. ""Changing One's Nature"" requires that there are no elements in oneself that are not in what one wants to become."
SP0067,,Central Plot Points,Preconditions,Impulsive Resopnses,restrictions imposed on the effort to reach the goal as it concerns innate responses,,"Built into the mind is an instinctual base of reactions and attitudes that cannot be altered but merely compensated for. When a story's problem revolves around the unsuitability of someone's essential nature to a given situation or environment, the central issue is Impulsive Responses. The solution lies in the character conditioning himself to either hold his tendencies in check or develop methods of enhancing areas in which he is naturally weak in reason, ability, emotion, or intellect."
SP0068,"1, 4, 8, 26, 37",Central Plot Points,Forewarnings,How Things are Changning,the foreshadowing events that indicate the approach of the consequence as it concerns the way things are going,,"How Things are Changing concerns itself with change: what direction and how fast? It is not so important where things were, are, or will be, but rather how the struggle between inertia and change seesaws over the course of the story."
