SPUID,scene_represents_menu,category,story_point,item,definition,illustration,explanation,point_type,
SP0011,Overall,Overall Story Throughline,Concern,Understanding,the area of shared concern in the Overall Story as it concerns appreciating the meaning of something,"Understanding in ASTRO7EX is portrayed as a trauma-based epistemology.

It is not achieved through facts, but through confronting contradiction and surviving gaslight systems.

Each faction seeks to control the narrative; each protagonist seeks to survive it.

The story uses misinterpretation, legacy myths, and ghost code to embody the fragmented nature of lunar knowledge.

Final understanding is partial, painful, and hard-won—but it is chosen, not granted.","Understanding is different from knowledge.  From knowledge one gets awareness, from Understanding, one gets meaning.  To obtain meaning requires not only knowing the substance of its nature, but the context of its essence.  In other words, one must not only define what something is, but how it fits into the larger picture as well.  To this end, Reason describes the function and Emotion defines the purpose.  So Understanding is not just an intellectual pursuit, but requires an empathy with the meaning as well.  It is useful to note that many Eastern and ancient philosophies define Understanding as ""becoming one with"" that which is being considered.  Until one joins a subject in unity, one cannot understand it.",Thematic Points,
SP0012,Overall,Overall Story Throughline,Issue,Conditioning,the Overall Story's thematic focus as it concerns responses based on experience or training,"The thematic issue of Conditioning functions as the deepest philosophical cut in ASTRO7EX. By layering conditioning into character psyches, societal structures, and technological scaffolding, the story becomes a metaphysical labyrinth of influence and illusion. The audience is forced to wrestle with whether freedom is achievable or if every choice is simply the latest turn in an encoded loop. In this way, conditioning is not just a theme — it is the ghost in the lunar machine, haunting every heartbeat and data echo.","Conditioning describes the learned responses to various stimuli.  Similar to Instinct in that the Consciousness in not involved until after the fact, Conditioning differs insofar as it was not inherent in the basic nature of a character, but acquired though training or familiarity to impose its triggers on the mind.  Since Instincts are intrinsic, and Conditioning is learned, they frequently come in conflict over how to respond.  This concept alone has provided the theme for many intriguing stories.",Thematic Points,
SP0013,Overall,Overall Story Throughline,Couterpoint,Instinct,the Overall Story's thematic rebuttal as it concerns intrinsic unconditioned responses,"The thematic counterpoint of Instinct in ASTRO7EX functions as a dangerous, liberating undercurrent threatening to burst through every polished layer of conditioning. It forces characters to confront what is unplanned and ungovernable inside them. In pushing Vivian and others toward unfiltered actions, Instinct questions whether true freedom lies in reason or in the primal scream echoing inside every organism. The story’s moral ambiguity hinges on this clash — is instinct liberation or another trap waiting to re-condition us?","Instinct describes those built- in responses to situations and circumstances that are not learned, yet drive one to comply with one's urges.  How much sway they have over an individual depends both upon the nature of the instinct and the intensity of conditioning against the instinct that he has experienced by accident, design, or choice.  When one acts or responds according to instinct, there is no conscious consideration beforehand.  Only after the fact does the consciousness become aware that an instinct has been triggered.  Nonetheless, one can learn to inhibit instinctual commands until the consciousness has the opportunity to consider the propriety of conforming to it.",Thematic Points,
SP0014,Theme,Overall Story Throughline,Thematic Conflict,Conditioning,the Overall Story's thematic comparison as it balances Conditioning against Instinct,"The thematic conflict between Conditioning and Instinct in ASTRO7EX functions as the pulse of the narrative. Every plot turn, every character breakdown, every betrayal or sacrifice resonates with this tension. The audience is constantly pushed to reinterpret whether any act is truly free or merely a variation on a cosmic algorithm. The final emotional payoff is not in resolution but in the unsettling realization that both Conditioning and Instinct shape human (and post-human) existence — simultaneously cages and wings.",,Thematic Points,
SP0015,Overall,Overall Story Throughline,Problem,Inertia,the source of the Overall Story's difficulties as it concerns continuation of a state or process,"In ASTRO7EX, Inertia is not merely a problem—it is the antagonist at a structural level. The problem is not “who holds power,” but “why nothing meaningful ever really changes.” Every system, faction, and character either consciously or unconsciously protects this Inertia, terrified of the entropy that true change would bring. Vivian’s journey becomes not about “overcoming” Inertia, but about embodying a singular act of resistance—an echo in a vacuum—proving that even if Inertia wins, it does not own her choice to scream.",Inertia is a tendency to maintain the status quo.  That which is moving wants to keep moving.  That which is at rest wants to stay at rest.  An Inertia-oriented character concerns himself with keeping things on an even keel.  He tries to avoid or prevent anything that rocks the boat.  He also does not adapt well to change.,Thematic Points,
SP0016,Overall,Overall Story Throughline,Solution,Change,the actual remedy for the Overall Story's problem(s) as it concerns an alteration of a state or process,"In ASTRO7EX, Change does not arrive as salvation but as rupture—a sudden, terrifying gap in the endless recursion of Inertia. Through Vivian’s irrational, emotional, and metaphysical sabotage, the system is forced to confront a future that was never forecast. The audience does not witness utopia, but a break in determinism—an uncertain opening. This is the final, necessary act: Change as the only counter to a universe that refuses to move.","Change is the force that alters.  A characteristic representing change is quick to adapt but also cannot leave well enough alone.  It feels that if things have been one way long enough to establish a pattern, its time to change it.",Thematic Points,
SP0017,Overall,Overall Story Throughline,Symptom,Projection,the principal symptom of the Overall Story's problem(s) as it concerns an extension of probability into the future,"In ASTRO7EX, the Overall Story Symptom of Projection embodies the characters’ collective obsession with hypothetical futures, designed to distract them from addressing the core Problem of Inertia. Rather than confronting the infected stasis saturating their psychic and social realities, they project countless potential narratives into the future as if they were real solutions. These projected visions—whether violent, ironic, or transcendent—become recursive traps that reinforce cosmic stasis rather than dissolving it. By focusing on probabilities instead of immediate transformation, the characters embody a shared tragic blindness, one that aligns perfectly with ASTRO7EX’s moral and thematic architecture.","Projection is a means of anticipating events and situations by extending the line of how things have been happening into the future.  A character that represents Projection has a good grasp of what he might look for in things to come.  However, this character will give great weight to past experience, so abrupt changes in direction might be ignored until it is too late.",Thematic Points,
SP0018,Overall,Overall Story Throughline,Response,Speculation,the apparent remedy for the principal symptom of the Overall Story's problem(s) as it concerns an extension of possibilities into the future,"In ASTRO7EX, the Overall Story Response of Speculation captures the characters’ collective strategy for addressing the fallout of Inertia without ever confronting it directly. While they perceive endless possible futures and engage in elaborate ""what if"" rituals, their speculation ultimately serves to reinforce stasis rather than disrupt it. By diverting psychic and narrative energy into hypothetical futures, they construct a living labyrinth of non-action. In Dramatica terms, this Response acts as a cosmic decoy, preserving the infected system and blocking true evolution until the final narrative implosion forces direct confrontation.","Speculation is the effort to determine what could conceivably happen in the future, even though it is not the most likely scenario.  Speculation leads a character to expect the unlikely in the event that it actually occurs.  Difficulties arise when Speculation runs rampant and a character puts effort into preparing for things that are so unlikely as to be unreasonable or improbable.",Thematic Points,
SP0019,Overall,Overall Story Throughline,Benchmark,Doing,the standard by which progress is measured in the overall Story as it concerns engaging in a physical activity,"In ASTRO7EX, the Overall Story's Benchmark is measured through Doing. Each ritual infiltration, data rupture, and lunar sacrifice becomes a mile marker on the cosmic road of existential rebellion. Dramatica describes Benchmarks as the metric by which story progress toward the Goal is assessed; ASTRO7EX literalizes this through violent, embodied acts that serve as both tally and testament. The characters' advancement is defined by how much they can fracture themselves and the systems they inhabit. Doing becomes the only true progress report, each act a glyph of hollowed defiance echoing into the lunar void. In measuring the path forward by acts performed rather than ideals envisioned, ASTRO7EX charts a brutal, honest map of narrative entropy and transcendence.","Doing is the process of being physically active.  In and of itself, Doing does not require any purpose, but simply describes engaging in a process, task, or endeavor, whether for pleasure or by necessity or compulsion.",Thematic Points,
SP0020,Overall,Overall Story Throughline,Catalyst,Senses,the kind of intem which serves to push the Overall Story forward as it concerns sensory observations,"In ASTRO7EX, Senses functions as the Catalyst that forcibly propels the Overall Story forward when entropy threatens to suffocate motion. Unlike intellectual triggers or ideological conflicts, Senses deliver raw, immediate ruptures — searing light, electric pain, data wails — that override the characters’ interpretive frameworks and demand violent or instinctual reaction. Dramatica defines Catalyst as the element that speeds narrative momentum; here, Senses act as cosmic defibrillators, forcing characters to confront and embody progress through visceral encounter. The characters move not because they choose, but because they are physically and psychically shocked into motion — making Senses the true cosmic whip driving the story toward dissolution and reawakening.","Senses refers to the raw data supplied to the mind to interpret.  Sometimes the data is accurate, other times it is faulty even before the mind gets hold of it.  Senses then, describes the overall accuracy of an observation (such as seeing a crime or checking the results of a test).  When taken in conjunction with its Dynamic Pair of Interpretation, all manner of error or accuracy can be created.  This provides the author with a powerful storytelling tool to create comedies and tragedies based in error and misunderstanding.",Thematic Points,
SP0021,Overall,Overall Story Throughline,Inhibitor ,Fate,the kind of item which serves sto impede the Overall Story's progress as it concerns a future situation that will befall an individual,"In ASTRO7EX, Fate emerges as the cosmic Inhibitor that halts the story’s acceleration toward resolution. Far from simply obstructing progress, it encodes every forward surge with spectral reminders of inevitable collapse. Dramatica defines the Inhibitor as the force that slows momentum; here, Fate calcifies narrative pathways, traps characters in eternal loops, and erodes agency into pre-scripted echoes. Characters do not merely fail; they are choreographed into failure by the universe’s design, transforming each act of rebellion into another layer of cosmic stasis.","The distinction between Fate and destiny is an important one.  Destiny is the direction one's life must take, Fate is any given moment along that direction.  So whereas one can have many Fates, one can only have one destiny.  Fate describes a state of situation and circumstance that exists at a particular point in time.  In other words, Fate is something of an outcome, or perhaps a step - just one of a number of Fates along the path of one's destiny.  Characters often either make the mistake of assuming that they have only one Fate and are therefore stuck with it, or they mistakenly believe they can achieve their destiny without ""passing through"" unattractive fates that lie along the path.  The nature of a Fate is that no matter how you try to avoid it, it tracks you.  All options that you might exercise still lead to that Fate.  That is what also defines Destiny as the limitations on free will that force you to arrive at your Fate no matter how you alter what you do or what kind of person you are.  If we all knew the future, there would be no freewill.",Thematic Points,
SP0022,Main Character,Synopsis,,,,"Vivian’s throughline chronicles a woman who emerges from corporate militarization and psychic vivisection to become a lunar outlaw and cosmic saboteur. Her life is an eternal heist against meaninglessness, each act of violence or subterfuge a personal exorcism. Relationships with Myrtle and Nacho test her, offering mirrors to her fragmented self. Yet she consistently recoils from emotional containment, preferring the raw abrasion of autonomy. Haunted by corrupted memory and guided by a defiant instinct, Vivian embodies the refusal to heal, to close, to end. She is a living paradox: both war cry and ghost echo, both wound and blade. In ASTRO7EX, she is not a redeemer nor a tragic fall — she is the refusal incarnate, a testament to the power of choosing noise over oblivion.",,,
SP0023,Main Character,Main Character Throughline,Throughline,Situation,the realm of Vivian's personal journey and growth as it concerns a situation or envirionment,"Vivian’s arc is not about who she becomes—but how long she can survive being who she already is. The world of ASTRO7EX conspires to frame her as a relic, a security risk, a loose end. She doesn't seek this role. She doesn’t want to be seen. But her Situation—her irremovable connection to memory, theft, prophecy, and system failure—demands attention.

Her refusal to transform becomes heroic. Her being becomes active resistance. The story ends not when she changes—but when the world fails to change her.","The Situation Class is where any fixed state of affairs is explored, such as an institution, system, or situation that remains stable and unchanging.  The point may be to show that the system is good, bad, or neutral, but the focus must be on the system, not on how the system is changing.",Thematic Points,
SP0024,Main Character,Main Character Throughline,Concern,The Past,the issue or issues held in greatest importance by Vivian as it concerns what has already happened,"Vivian’s Concern of The Past is more than flashbacks or origin reveals—it’s the psychic engine of ASTRO7EX. Every action she takes is filtered through her inability to reconcile what happened, to whom, and why. The plot challenges her not to fix the past, but to resist its gravitational pull. As the MODS manipulate records and memories, Vivian fights to maintain not her sanity—but her moral center. The past won’t release her. But maybe she can release it.","The Past is not unchanging.  Often we learn new things that change our understanding of what past events truly meant and create new appreciations of how things really fit together.  A Story that focuses on The Past, may be much more than a documentation of what happened.  Frequently, it is a reevaluation of the meaning of what has occurred that can lead to changing one's understanding of what is happening in the present or will eventually happen in the future.",Thematic Points,
SP0025,Main Character,Main Character Throughline,Issue,Destiny,"Vivian's personal thematic focus, topic, or value standard as it concerns the future path an individual must take","The thematic issue of Destiny in ASTRO7EX defines Vivian’s existential battlefield. Across four major narrative instances — the Lunar Vault Prophecy, MAXWING training logs, the DHR countdown, and Myrtle’s sacrificial echo — Destiny is shown as both an invisible chain and a cosmic script. It provokes the audience to wonder: Can an individual truly choose, or are we all playing out ancient, invisible blueprints? By constantly testing and reframing Vivian’s perception of her ""chosen"" role, the story builds a powerful tension between heroic rebellion and tragic determinism.","Destiny is the path to a particular fate, or through a series of fates.  Fates are experiences or conditions one must encounter along the way as one's Destiny directs one's course.  The nature of Destiny is such that no matter how much a character is aware of the nature and location of an undesirable fate, nothing he can do is enough to pull him off the path.  Characters often try to deny Destiny by jumping to an entirely different path, only to discover that all roads lead to Rome.",Thematic Points,
SP0026,Theme,Main Character Throughline,Counterpoint,Fate,the thematic opposite ot the area of Vivian's greatest sensitivity as it concerns a future situation that will befall an individual,"In ASTRO7EX, Fate stands as the cold, systemic force always operating in Vivian’s periphery, pushing her closer to her potential collapse or transcendence. Through oracular transmissions, MODS projections, ghostly broadcasts, and symbolic labyrinthine encounters, Fate asserts itself as her ultimate opponent — not in open battle but in quiet inevitability. This thematic counterpoint magnifies her internal struggle, compelling the audience to wrestle with whether freedom is an illusion or a flame worth guarding even as the darkness closes in.","The distinction between Fate and destiny is an important one.  Destiny is the direction one's life must take, Fate is any given moment along that direction.  So whereas one can have many Fates, one can only have one destiny.  Fate describes a state of situation and circumstance that exists at a particular point in time.  In other words, Fate is something of an outcome, or perhaps a step - just one of a number of Fates along the path of one's destiny.  Characters often either make the mistake of assuming that they have only one Fate and are therefore stuck with it, or they mistakenly believe they can achieve their destiny without ""passing through"" unattractive fates that lie along the path.  The nature of a Fate is that no matter how you try to avoid it, it tracks you.  All options that you might exercise still lead to that Fate.  That is what also defines Destiny as the limitations on free will that force you to arrive at your Fate no matter how you alter what you do or what kind of person you are.  If we all knew the future, there would be no freewill.",Thematic Points,
SP0027,Theme,Main Character Throughline,Thematic Conflict,Destiny,the thematic comparison within Vivian as it balances Destiny agaainst Fate,"In ASTRO7EX, Vivian’s thematic conflict between Destiny and Fate is the crucible for her fragmented self and the ultimate question of her narrative existence. Destiny offers her a mythic throughline of chosen defiance, while Fate looms as a pre-coded collapse she cannot escape. Her psychic oscillation between these poles renders her both anti-hero and tragic victim. In Dramatica terms, this conflict defines her Issue and Counterpoint, fueling not only her internal narrative drive but also the friction with MODS and the broader cosmic architecture. Vivian’s story becomes a haunted symphony of chosen illusions and imposed inevitabilities — each step forward both a cry for autonomy and an echo of her predetermined demise.",,Thematic Points,
SP0028,Main Character,Main Character Throughline,Problem,Aware,the source of Vivian's drive, the source of Vivian's problems as it concerns being conscious of things outside oneself,"In ASTRO7EX, Vivian’s Problem of Aware transforms from an edge in combat to a core vulnerability. Her hyper-awareness is both a narrative weapon and a spiritual curse—she sees too much to function in any traditional sense. Rather than becoming enlightened, she becomes alienated, unmoored from consensus reality. Her journey is not about closing her eyes but about finding the courage to act regardless of infinite contradictory inputs. Her final resistance is not in “understanding more,” but in choosing to move forward without further proof.",Awareness refers to being conscious of things outside oneself.  A character that represents Awareness misses nothing that happens around him.  A drawback is he may forget to figure himself into the equation.,Thematic Points
SP0029,Main Character,Main Character Throughline,Solution,Self Aware,what is needed to truly satisfy Vivian's drive, the solution to Vivian's problems as it concerns being conscious of one's own existence,"Vivian’s Solution of Self Aware transforms her narrative from a surveillance operator to an existential warrior. By integrating her perceptions and failures into her sense of self, she transcends the need for external verification or systemic coherence. Her final acts are no longer aimed at exposing or fixing the world but at asserting the sovereignty of her identity in defiance of a universe that refuses to validate her. In the end, she becomes her own proof.","When a character possesses Self-Awareness he fully appreciates all his feelings, thoughts, abilities and knowledge.  Everything he experiences or observes is couched in terms of his own point of view.  As the downside, he may not be able to understand that some things that happen don't pertain to him at all, and in fact happen best without him.",Thematic Points
SP0030,Main Character,Main Character Throughline,Symptom,Projection,the area or item Vivian believes the problem to be as it concerns an extension of probability into th efuture,"Vivian’s Symptom of Projection threads through ASTRO7EX as both a shield and a sword. It allows her to maintain an illusion of agency by externalizing blame, but isolates her emotionally and strategically. Her entire journey becomes a battle against false enemies of her own making—each accusation a piece of her fractured mirror. Only by confronting her projections does she glimpse the core of her true conflict. Her partial recognition at the end transforms her from an omniscient observer to an imperfect, tragic figure who acts in spite of endless mirrors.","Projection is a means of anticipating events and situations by extending the line of how things have been happening into the future.  A character that represents Projection has a good grasp of what he might look for in things to come.  However, this character will give great weight to past experience, so abrupt changes in direction might be ignored until it is too late.",Thematic Points,
SP0031,Main Character,Main Character Throughline,Response,Speculation,the response of Vivian to her apparent problems as it concerns an extension of possibilities into the future,"In ASTRO7EX, Vivian’s Response of Speculation highlights her tragic brilliance and core vulnerability. Instead of confronting her corrupted memory or cosmic inertia directly, she flees into infinite hypothetical futures, creating psychic labyrinths where action is permanently deferred. Her speculative mindset becomes her fortress and her prison, allowing her to remain one step ahead emotionally but ten steps behind existentially. In Dramatica terms, Speculation defines her Response as both coping mechanism and narrative quicksand — she survives by imagining every possibility, yet is undone by the inability to choose a single reality to inhabit. This transforms her from a warrior of becoming into a ghost of possibilities, both beautiful and doomed.","Speculation is the effort to determine what could conceivably happen in the future, even though it is not the most likely scenario.  Speculation leads a character to expect the unlikely in the event that it actually occurs.  Difficulties arise when Speculation runs rampant and a character puts effort into preparing for things that are so unlikely as to be unreasonable or improbable.",Thematic Points,
SP0032,Main Character,Main Character Throughline,Benchmark,How Things are Changing,the standard by which Vivian's degree of growth is indicated as it concerns the way things are going,"In ASTRO7EX, Vivian’s Benchmark of How Things are Changing serves as her internal compass for gauging the depth of her concern with The Past and her own psychic fractures. Rather than using external victories or tangible milestones, Vivian monitors subtle emotional and situational shifts as evidence of progress or relapse. This dynamic creates a recursive tension: her hyper-awareness of change both empowers her to sense approaching threats and traps her in an endless diagnostic loop that prevents full commitment to the present. In Dramatica terms, this Benchmark foregrounds the paradox of transformation within inertia — Vivian is both haunted by her own changes and addicted to tracking them, converting her entire lived experience into an unstable, self-reflective map of becoming.","How Things are Changing concerns itself with change: what direction and how fast?  It is not so important where things were, are, or will be, but rather how the struggle between inertia and change seesaws over the course of the story.",Thematic Points,
SP0033,Main Character,Main Character Throughline,Unique Ability,Prediction,the quality that makes Vivian uniquely qualified to resolve the story's problem as it concerns predetermination of a future state of affairs,"In ASTRO7EX, Vivian’s Unique Ability of Prediction defines her as the singular entity capable of navigating — and potentially disrupting — the cosmic stasis imposed by MODS and MORN. This faculty is not simply foresight but a haunted synthesis of traumatic memory, psychic code residue, and ghost-inflected tactical genius. Her predictions allow her to preempt betrayal, maneuver through psychic traps, and briefly illuminate paths toward self-authored destiny. However, this same gift is also her curse, feeding recursive loops that threaten to dissolve her identity. In Dramatica terms, Prediction becomes both her weapon and her existential abyss, setting her apart as uniquely qualified yet perpetually on the verge of psychic collapse.","Prediction explores the effort to learn the course of one's destiny.  Destiny is the path to a particular fate, or through a series of fates.  Fates are experiences or conditions one must encounter along the way as one's destiny directs one's course.  The nature of destiny is such that no matter how much a character is aware of the nature and location of an undesirable fate, nothing he can do is enough to pull him off the path.  However, if one could know the future course, one could prepare for each eventuality in order to minimize or maximize its effect.",Thematic Points,
